track_id,song_id,artist_id,artist_name,song_title,genre,dot_1,dot_2,dot_3,centered_1,centered_2,centered_3,corr_1,corr_2,corr_3,cosine_1,cosine_2,cosine_3,tfidf_dot_1,tfidf_dot_2,tfidf_dot_3,tfidf_centered_1,tfidf_centered_2,tfidf_centered_3,tfidf_corr_1,tfidf_corr_2,tfidf_corr_3,tfidf_cosine_1,tfidf_cosine_2,tfidf_cosine_3
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Katy Perry - Hot N Cold (Innerpartysystem Main),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Katy Perry - Hot N Cold (Innerpartysystem Main),Tony Bennett - You're All The World To Me,Patricia Barber - You're The Top,Husker Du - You're A Soldier,Tony Bennett - You're All The World To Me,Patricia Barber - You're The Top,Husker Du - You're A Soldier,Aqua - Happy Boys & Girls,Flipsyde - Angel,Cathy Dennis - Being With You,Aqua - Happy Boys & Girls,Cathy Dennis - Being With You,Michael Jackson - Baby Be Mine,Colin James - These Arms Of Mine,Big Bad Voodoo Daddy - Please Baby,Michael Jackson - Baby Be Mine,Colin James - These Arms Of Mine,Big Bad Voodoo Daddy - Please Baby,Michael Jackson - Baby Be Mine
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,R. Kelly - I Mean (I Don't Mean It),R. Kelly - I Mean (I Don't Mean It),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Naked Aggression - Plastic World,Ozma - The Ups And Downs,Sage Francis - Keep Moving,Naked Aggression - Plastic World,Ozma - The Ups And Downs,Sage Francis - Keep Moving,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Binary Star - Honest Expression,Matisyahu - Fire and Heights,OutKast - Mainstream,Barry White - Never Gonna Give You Up,Barry White - Never Gonna Give You Up,Matisyahu - Fire and Heights,Matisyahu - Jerusalem,Matisyahu - Fire and Heights,Barry White - Never Gonna Give You Up,Matisyahu - Jerusalem
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Fat Joe - Preacher On A Sunday Morning,Calvin Harris - Ready For The Weekend,KATAKLYSM - Beyond Salvation,Fat Joe - Preacher On A Sunday Morning,Calvin Harris - Ready For The Weekend,KATAKLYSM - Beyond Salvation,Lauryn Hill - Interlude 5,Eminem - If I Had,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - If I Had,Lauryn Hill - Interlude 5,Nelly - Say Now,Heatmiser - Half Right,Pop Levi - Hades Lady,Camper Van Beethoven - Sad Lover's Waltz,Heatmiser - Half Right,Eminem - If I Had,Gary Allan - Half Of My Mistakes
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Erykah Badu - I Want You,The Derek Trucks Band - All I Do,Avalon - Overjoyed,Billie Piper - Day And Night,The Derek Trucks Band - All I Do,Avalon - Overjoyed,Billie Piper - Day And Night,Dilated Peoples - Ear Drums Pop,Ying Yang Twins - 1st Booty On Duty,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Dilated Peoples - Ear Drums Pop,Afroman - Let's All Get Drunk,Ying Yang Twins - 1st Booty On Duty,Bowling For Soup - Here We Go,Wade Hayes - Don't Stop,The Adicts - Disco,Bowling For Soup - Here We Go,Wade Hayes - Don't Stop,UB40 - Here I Am (Come And Take Me)
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Twista - I'm A Winner (Amended Album Version),Blues Traveler - Hook,G-Unit - I Don't Want To Talk About It,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Blues Traveler - Hook,G-Unit - I Don't Want To Talk About It,Lauryn Hill - Interlude 5,Michael Jackson - Man In The Mirror,Binary Star - Honest Expression,Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Binary Star - Honest Expression,Jennifer Lopez - The Way It Is,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Fiona Apple - Oh Well,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Lauryn Hill - Interlude 5,Jennifer Lopez - The Way It Is
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Erykah Badu - I Want You,Albert Hammond Jr - G Up,Anastacia - Club Megamix,Blues Traveler - Hook,Albert Hammond Jr - G Up,Anastacia - Club Megamix,Blues Traveler - Hook,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Ryan Leslie - Just Right,Ryan Leslie - Just Right,Omarion - I'm Gon' Change,Eternal - Oh Baby I,Ryan Leslie - Just Right,Eternal - Oh Baby I,Matt Wertz - 5:19,Ryan Leslie - Just Right,Eternal - Oh Baby I,Matt Wertz - 5:19
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Eminem - 8 Mile,Manafest - Runaway,The Cat Empire - The Car Song,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,Manafest - Runaway,The Cat Empire - The Car Song,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,Eminem - 8 Mile,Michael Jackson - Man In The Mirror,Wu-Tang Clan - Da Mystery Of Chessboxin',Michael Jackson - Man In The Mirror,Gabrielle - Dreams,Pennywise - Living For Today,Udo - What Can I Say,Gabrielle - Dreams,Lemar - Time To Grow,Udo - What Can I Say,Lemar - Time To Grow,Gabrielle - Dreams
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Warrant - Bad Tattoo,Doyle Bramhall - Dimples,Ayo - Only You,Warrant - Bad Tattoo,Doyle Bramhall - Dimples,Ayo - Only You,Lauryn Hill - Interlude 5,OutKast - Hey Ya!,Twiztid - She Ain't Afraid,OutKast - Hey Ya!,Lauryn Hill - Interlude 5,Ledisi - Alright,Fishbone - Bonin' In The Boneyard,Johnny Winter - Rockin' Pneumonia,Percy Sledge - Baby Help Me,Fishbone - Bonin' In The Boneyard,Johnny Winter - Rockin' Pneumonia,Percy Sledge - Baby Help Me
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Lauryn Hill - Interlude 5,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),R. Kelly - I Mean (I Don't Mean It),R. Kelly - I Mean (I Don't Mean It),Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Kandi - I Wanna Know,Johnny Cash - I Don't Know Where I'm Bound,LMFAO - I Am Not A Whore,Sneaky Sound System - 16,Johnny Cash - I Don't Know Where I'm Bound,LMFAO - I Am Not A Whore,Sneaky Sound System - 16,The Pharcyde - Otha Fish,Eminem - 8 Mile,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Tankard - Land Of The Free,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,The Pharcyde - Otha Fish,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,Jimmy Cliff - Sufferin' In The Land,Body Count - Masters Of Revenge,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,Jimmy Cliff - Sufferin' In The Land,The Cave Singers - Elephant Clouds
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Michael Jackson - Man In The Mirror,Lauryn Hill - Interlude 5,Twista - I'm A Winner (Amended Album Version),Eminem - My Darling,Brandy - Give Me You,Leonard Cohen - The Stranger Song,Athlete - New Project,Leonard Cohen - The Stranger Song,Brandy - Give Me You,Athlete - New Project,Lyfe Jennings - She Got Kids,Jill Scott - Brotha,Big Brovaz - Find A Way,Lyfe Jennings - She Got Kids,Jill Scott - Brotha,Slipknot - Gehenna,Gang Of Four - Outside The Trains Don't Run On Time,Jill Scott - Brotha,Blink-182 - GO,Gang Of Four - Outside The Trains Don't Run On Time,Jill Scott - Brotha,Blink-182 - GO
